scenario,timeslot,count_mean,count_std
no08,2022/10/18 14:45:00,8427.473684210527,138.1152370792242
no08,2022/10/18 15:00:00,8518.052631578947,137.5069588882324
no08,2022/10/18 15:15:00,8663.157894736842,167.9987642672456
no08,2022/10/18 15:30:00,8219.473684210527,116.97500607729636
no08,2022/10/18 15:45:00,8086.736842105263,109.39065677412185
no08,2022/10/18 16:00:00,9473.947368421053,125.7278691302108
no08,2022/10/18 16:15:00,9609.473684210527,154.41120009070045
no08,2022/10/18 16:30:00,9203.947368421053,162.18524171939603
no08,2022/10/18 16:45:00,9444.368421052632,163.07197133860032
no08,2022/10/18 17:00:00,9998.315789473685,179.76467723467405
no08,2022/10/18 17:15:00,10032.421052631578,130.22600687073665
no08,2022/10/18 17:30:00,9504.473684210527,133.32431987077922
no08,2022/10/18 17:45:00,9893.105263157895,133.069278004121
no08,2022/10/18 18:00:00,10117.947368421053,130.97941894486553
no08,2022/10/18 18:15:00,9346.421052631578,122.84286068409753
no08,2022/10/18 18:30:00,8621.842105263158,172.5911234867914
no08,2022/10/18 18:45:00,7970.684210526316,145.73608286197756
