route_id,V_kmh,Dpillar,simulation_delay
D30_H04,27.5,20.814545449090925,20.81454467773437
D30_H04,30.0,4.079999999999954,4.079999923706055
D30_H04,32.5,10.079999999999965,10.079999923706056
D30_H04,35.0,22.21714286228569,22.21714210510254
D30_H04,37.5,27.264,32.73600006103516
D30_H04,40.0,29.939999999999976,41.93999862670898
D30_H04,42.5,33.94729411369409,38.82352828979492
D30_H04,45.0,32.1279999992,41.27999877929688
D30_H04,47.5,30.500210527831573,43.528419494628906
D30_H04,50.0,33.55199999999999,45.55199813842773
D30_H05,10.0,22.74927330863341,
D30_H05,12.5,35.62082701665955,
D30_H05,15.0,12.13652532316883,
D30_H05,17.5,22.5462857142858,
D30_H05,20.0,26.423999999999975,36.119998931884766
D30_H05,22.5,34.04799999680004,42.560001373291016
D30_H05,25.0,28.895999999999965,28.895999908447266
D30_H05,27.5,11.912727269454615,11.912727355957031
D30_H05,30.0,4.080000000000011,4.079999923706055
D30_H05,32.5,17.612307688615335,17.612308502197266
D30_H05,35.0,29.211428568782694,29.211427688598636
D30_H05,37.5,21.686399999999978,38.400001525878906
D30_H05,40.0,21.611999999999988,42.0
D30_H05,42.5,20.623058819858837,44.52705764770508
D30_H05,45.0,26.71999999069143,46.720001220703125
D30_H05,47.5,30.199578944181617,48.682106018066406
D30_H05,50.0,33.12959999999999,50.448001861572266
D30_H06,10.0,24.00000000158625,
D30_H06,12.5,12.000000000533287,
