scenario,timestr,slot_code,HHMM,V_net_rel,TTT_rel,flow_rel,V_net_mean,TTT_mean,flow_veh_mean
no04,2022/10/18 09:00:00,900,09:00,0.9997518338633092,1.0010289295169108,1.0008854570815144,26.29290521956413,260300.9165,10512.35
no04,2022/10/18 09:15:00,915,09:15,0.9846140795814011,1.0119791639202478,0.9962213892574451,26.94836185548982,226456.9125,9873.6
no04,2022/10/18 09:30:00,930,09:30,0.9982232377972239,1.0008022322652723,1.0002068749849655,26.953870738029508,241121.6355,10394.9
no04,2022/10/18 09:45:00,945,09:45,1.0041870484260478,0.9976473050385598,1.0016792104694248,28.2050283994159,222942.232,9961.85
no04,2022/10/18 10:00:00,1000,10:00,0.9955249845463644,1.0021667237312033,0.9990701890459859,25.82265919249172,256242.58,10691.15
no04,2022/10/18 10:15:00,1015,10:15,1.007724269633653,0.991310474034378,0.9998459650546054,25.522587330231104,245666.35350000003,9736.55
no04,2022/10/18 10:30:00,1030,10:30,0.9959147197686653,1.0040306019868894,0.9977460354852179,28.17106912746285,211945.2355,9318.05
no04,2022/10/18 10:45:00,1045,10:45,0.998140380829151,1.0039342614227056,1.0019556071694642,29.043583290922363,202264.5115,9145.45
no04,2022/10/18 11:00:00,1100,11:00,0.9937332721762026,1.004148170651663,0.9966695304998231,27.44629305275758,227835.7925,9860.55
no04,2022/10/18 11:15:00,1115,11:15,0.9946845036690053,1.0104065624301886,1.0049833088016007,27.099928358325588,237974.101,10446.5
no04,2022/10/18 11:30:00,1130,11:30,0.9947812820065836,1.004662080527118,0.9988635690395272,28.06905465360207,209151.969,9272.9
no04,2022/10/18 11:45:00,1145,11:45,0.9947299143359747,1.0053484839407436,1.0008534698885154,28.50955987023242,213475.964,9381.5
no04,2022/10/18 12:00:00,1200,12:00,0.9945948969095332,1.0009658029130204,0.9972115684161605,27.901941253729508,220976.6815,9763.15
no04,2022/10/18 12:15:00,1215,12:15,0.9878137475023197,1.0191632825640784,1.0059687532999109,27.954046037608908,231638.4165,10002.8
no04,2022/10/18 12:30:00,1230,12:30,0.9977078631139826,1.0043390878070624,1.0010305081951165,27.890390254095376,214522.974,9713.95
no04,2022/10/18 12:45:00,1245,12:45,0.9966130473918272,1.0042993130385318,1.001451294554743,28.930501202574373,212871.4245,9488.05
no04,2022/10/18 13:00:00,1300,13:00,0.9990184647968974,0.9984677846112421,0.9973930505438457,28.6852679677728,218823.33650000003,9660.4
no04,2022/10/18 13:15:00,1315,13:15,0.9957877915612058,1.0057575015500948,1.001685214974339,28.88876776606365,207353.4265,9153.7
no04,2022/10/18 13:30:00,1330,13:30,0.9996423475516166,0.9957838173985463,0.9969574257317964,28.37826710378561,204161.324,9158.35
no04,2022/10/18 13:45:00,1345,13:45,0.9981509703053704,0.9999040368575947,0.9978538410741802,28.49969511216194,185834.77,8159.85
no04,2022/10/18 14:00:00,1400,14:00,0.9957580050894371,1.0085844731836715,1.003263947075865,28.41982086252268,203732.0565,9159.85
no04,2022/10/18 14:15:00,1415,14:15,0.9998263951483607,1.000782026406985,1.001742327878315,28.40293630133521,216784.2065,9371.6
no04,2022/10/18 14:30:00,1430,14:30,0.9963352584517783,1.0033084644836807,0.9999684710012035,29.060664156296365,211038.5045,9514.75
no04,2022/10/18 14:45:00,1445,14:45,0.9963370100455085,0.9994080601582126,0.9961871805962738,28.700424197356256,211241.8015,9327.45
no04,2022/10/18 15:00:00,1500,15:00,0.9949076949726047,1.0057879899559232,1.0026176898488854,27.05929803886816,224341.6785,9441.35
no04,2022/10/18 15:15:00,1515,15:15,0.9837767234104219,1.0190642320952197,1.0017356948512932,26.819570059957837,228100.1635,9609.35
no04,2022/10/18 15:30:00,1530,15:30,0.9956282162700137,1.0012208100902606,0.9972788893069622,27.13675540834721,220927.781,9144.1
no04,2022/10/18 15:45:00,1545,15:45,0.9875167392613631,1.0199078050620873,1.0046855692295649,27.25768937233681,214630.4745,8984.25
no04,2022/10/18 16:00:00,1600,16:00,0.9898747533000863,1.002925073945628,0.9982260528967374,24.69778498778433,272112.238,10550.9
no04,2022/10/18 16:15:00,1615,16:15,0.9888914659523236,1.0107633442901454,0.9999292412778081,24.613595262454638,270817.172,10598.65
no04,2022/10/18 16:30:00,1630,16:30,0.9943609706414972,1.0150177966591305,1.008287033143185,24.0084372742694,266631.7805,10189.9
no04,2022/10/18 16:45:00,1645,16:45,1.0033733796713336,0.9981517057801372,1.0013743670991788,25.107949182952808,269633.843,10491.95
no04,2022/10/18 17:00:00,1700,17:00,0.9849329015411317,1.0084577025684944,0.9950876464909828,24.03221339287223,292490.9195,11029.85
