route_id,tolerance,start_speed_kmh,end_speed_kmh,width_kmh,n_points,relative_range,min_ttt,max_ttt
D50_322,0.05,30.0,32.5,2.5,2,0.03333333333333333,240.0,248.0
D50_322,0.05,32.5,35.0,2.5,2,0.03703703703703671,231.4285714285715,240.0
D50_322,0.05,40.0,50.0,10.0,5,0.016666666666666666,180.0,183.0
D50_323,0.05,25.0,27.5,2.5,2,0.021671826625386966,352.3636363636364,360.0
D50_323,0.05,35.0,37.5,2.5,2,0.04761904761904626,252.0,263.99999999999966
D50_323,0.05,37.5,40.0,2.5,2,0.05,240.0,252.0
D50_323,0.05,47.5,50.0,2.5,2,0.0,180.0,180.0
D50_324,0.05,25.0,27.5,2.5,2,0.02611940298507459,292.3636363636364,300.0
D50_324,0.05,35.0,37.5,2.5,2,0.034482758620689655,232.0,240.0
D50_324,0.05,45.0,47.5,2.5,2,0.007407407407405723,180.0,181.33333333333303
D50_331,0.05,25.0,32.5,7.5,4,0.020942408376963605,176.30769230769226,180.0
D50_331,0.05,32.5,35.0,2.5,2,0.03885003885003854,169.71428571428572,176.30769230769226
D50_331,0.05,35.0,37.5,2.5,2,0.03484320557491294,164.0,169.71428571428572
D50_331,0.05,37.5,40.0,2.5,2,0.031446540880503145,159.0,164.0
D50_331,0.05,40.0,42.5,2.5,2,0.02853881278538904,154.5882352941175,159.0
D50_331,0.05,42.5,45.0,2.5,2,0.026028110359186497,150.66666666666674,154.5882352941175
D50_332,0.05,20.0,22.5,2.5,2,0.018099547511311955,294.66666666666674,300.0
D50_332,0.05,32.5,37.5,5.0,3,0.0,180.0,180.0
D50_332,0.05,42.5,45.0,2.5,2,0.04476834981780195,150.66666666666663,157.41176470588212
D50_332,0.05,45.0,50.0,5.0,3,0.04629629629629603,144.0,150.66666666666663
D50_333,0.05,22.5,25.0,2.5,2,0.04444444444444343,300.0,313.33333333333303
D50_333,0.05,25.0,27.5,2.5,2,0.022304832713754504,293.4545454545455,300.0
D50_333,0.05,37.5,40.0,2.5,2,0.04918034871419286,183.0,192.0000038146973
D50_333,0.05,40.0,45.0,5.0,3,0.016666666666666666,180.0,183.0
D50_334,0.05,25.0,27.5,2.5,2,0.02325581395348905,234.5454545454544,240.0
D50_334,0.05,37.5,45.0,7.5,4,0.030534351145038056,174.66666666666669,180.0
D50_H01,0.05,25.0,30.0,5.0,3,0.046511627906976744,344.0,360.0
D50_H01,0.05,37.5,40.0,2.5,2,0.03875968992248062,258.0,268.0
D50_H02,0.05,42.5,50.0,7.5,4,0.039215694751613406,180.0,187.0588250552904
D50_H03,0.05,30.0,32.5,2.5,2,0.0,360.0,360.0
D50_H03,0.05,45.0,47.5,2.5,2,0.042222222222221245,240.0,250.1333333333331
D50_H04,0.05,27.5,30.0,2.5,2,0.014656144306651764,354.79999999999995,360.0
D50_H04,0.05,42.5,45.0,2.5,2,0.047729918509895504,229.0666666666666,240.0
D50_H05,0.05,27.5,30.0,2.5,2,0.04782944880150245,329.2,344.9454545454546
D50_H05,0.05,35.0,37.5,2.5,2,0.04915869350049676,277.11999999999955,290.7428571428572
D50_H06,0.05,25.0,27.5,2.5,2,0.03333333333333333,360.0,372.0
D50_H06,0.05,37.5,40.0,2.5,2,0.037646102462101656,248.1000019073484,257.44000000000005
D50_H06,0.05,40.0,42.5,2.5,2,0.033750007947285,240.0,248.1000019073484
D50_H07,0.05,25.0,27.5,2.5,2,0.04923076923077003,354.5454545454543,372.0
D50_H07,0.05,30.0,32.5,2.5,2,0.04933333333333337,300.0,314.8
D50_H07,0.05,32.5,35.0,2.5,2,0.013904972161381148,295.88571733747216,300.0
