scenario,link_id,slot_code,HHMM,V_base,V_scen,V_diff
no04,533967_00693_01661_0,1200,12:00,26.24262942261264,26.497854288589178,0.2552248659765368
no04,533967_00693_01661_0,1215,12:15,27.000102163639355,26.81558109411292,-0.18452106952643632
no04,533967_00693_01661_0,1230,12:30,25.273166882926013,25.340299045408848,0.06713216248283516
no04,533967_00693_01661_0,1245,12:45,26.432730506743265,26.027893499252748,-0.4048370074905172
no04,533967_00693_01661_0,1300,13:00,26.86522902338868,26.814040879096165,-0.051188144292513726
no04,533967_00693_01661_0,1315,13:15,26.011122894338847,26.22860610396274,0.217483209623893
no04,533967_00693_01661_0,1330,13:30,27.86694887671905,28.112647609512223,0.24569873279317278
no04,533967_00693_01661_0,1345,13:45,28.230242696812468,27.830540693706816,-0.3997020031056522
no04,533967_00693_01661_0,1400,14:00,27.51690648885231,27.215226574171787,-0.30167991468052335
no04,533967_00693_01661_0,1415,14:15,27.67630808706315,27.706392786495417,0.03008469943226899
no04,533967_00693_01661_0,1430,14:30,25.836507055912687,25.83570848002937,-0.0007985758833157774
no04,533967_00693_01661_0,1445,14:45,26.822461475460965,26.716207535961644,-0.1062539394993216
no04,533967_00693_01661_0,1500,15:00,26.68329025885272,26.96407692763513,0.28078666878241165
no04,533967_00693_01661_0,1515,15:15,26.601603909774298,26.644283881536847,0.04267997176254923
no04,533967_00693_01661_0,1530,15:30,26.559663667747703,26.951059787971246,0.3913961202235434
no04,533967_00693_01661_0,1545,15:45,26.2727673992993,26.26697125872416,-0.005796140575142772
no04,533967_00693_01661_0,1600,16:00,28.00015077777544,27.66059046593669,-0.33956031183874913
no04,533967_00693_01661_0,1615,16:15,26.439274675372804,26.34171284483283,-0.09756183053997347
no04,533967_00693_01661_0,1630,16:30,27.760161571601525,28.431090999774305,0.67092942817278
no04,533967_00693_01661_0,1645,16:45,26.36432114339177,26.536093283519502,0.17177214012773234
no04,533967_00693_01661_0,1700,17:00,26.47792148314404,26.32065789931919,-0.15726358382485017
