scenario,link_id,slot_code,HHMM,TTT_base,TTT_scen,TTT_diff
no02,533967_00285_11494_0,1800,18:00,79.1,75.845,-3.2549999999999955
no02,533967_00285_11494_0,1815,18:15,76.9395,79.342,2.4025000000000034
no02,533967_00285_11494_0,1830,18:30,124.971,121.8305,-3.140500000000003
no02,533967_00285_11494_0,1845,18:45,168.9085,169.52349999999998,0.6149999999999807
no02,533967_00285_11494_1,630,06:30,201.0,201.0,0.0
no02,533967_00285_11494_1,645,06:45,164.75,164.75,0.0
no02,533967_00285_11494_1,700,07:00,198.5,198.5,0.0
no02,533967_00285_11494_1,715,07:15,145.5,145.5,0.0
no02,533967_00285_11494_1,730,07:30,165.052,164.9485,-0.10349999999999682
no02,533967_00285_11494_1,745,07:45,135.75,135.75,0.0
no02,533967_00285_11494_1,800,08:00,199.25,199.0,-0.25
no02,533967_00285_11494_1,815,08:15,268.962,269.357,0.39500000000003865
no02,533967_00285_11494_1,830,08:30,244.5,244.0,-0.5
no02,533967_00285_11494_1,845,08:45,150.6805,151.423,0.7425000000000068
no02,533967_00285_11494_1,900,09:00,161.2975,161.4025,0.10499999999998977
no02,533967_00285_11494_1,915,09:15,110.75,109.75,-1.0
no02,533967_00285_11494_1,930,09:30,174.25,174.5,0.25
no02,533967_00285_11494_1,945,09:45,141.25,140.5,-0.75
no02,533967_00285_11494_1,1000,10:00,191.773,192.1535,0.38050000000001205
no02,533967_00285_11494_1,1015,10:15,132.25,132.5,0.25
no02,533967_00285_11494_1,1030,10:30,168.5,168.5,0.0
no02,533967_00285_11494_1,1045,10:45,91.5,92.0,0.5
no02,533967_00285_11494_1,1100,11:00,104.25,104.0,-0.25
no02,533967_00285_11494_1,1115,11:15,114.75,114.75,0.0
no02,533967_00285_11494_1,1130,11:30,163.0,164.0,1.0
no02,533967_00285_11494_1,1145,11:45,98.6575,97.8075,-0.8499999999999943
no02,533967_00285_11494_1,1200,12:00,99.5,100.75,1.25
no02,533967_00285_11494_1,1215,12:15,94.75,93.25,-1.5
no02,533967_00285_11494_1,1230,12:30,90.087,90.8515,0.7644999999999982
no02,533967_00285_11494_1,1245,12:45,70.0,69.5,-0.5
no02,533967_00285_11494_1,1300,13:00,94.25,94.5,0.25
no02,533967_00285_11494_1,1315,13:15,57.0,56.75,-0.25
no02,533967_00285_11494_1,1330,13:30,69.5,69.25,-0.25
no02,533967_00285_11494_1,1345,13:45,68.75,69.0,0.25
